collectedAt,content.company,content.date,content.is_remote,content.role_family,recordType,schemaVersion,source.name,source.url
2026-08-12T11:59:09.005231+00:00,Wearebeyondsports,2026-08-12T06:40:19+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wearebeyondsports/senior-product-designer-london-129379
2026-08-12T11:59:09.005309+00:00,Wearebeyondsports,2026-08-12T06:40:19+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wearebeyondsports/senior-freelance-product-designer-london-351547
2026-08-12T11:59:09.005951+00:00,Wearebeyondsports,2026-08-12T06:40:19+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wearebeyondsports/software-architect-machine-learning-london-96010
2026-08-12T11:59:09.006123+00:00,Heidi,2026-08-12T06:40:18+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/heidi/design-quality-engineer-london-428330
2026-08-12T11:59:09.006849+00:00,Whitecircle,2026-08-12T06:40:16+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/whitecircle/remote-recruiter-research-184816
2026-08-12T11:59:09.007306+00:00,Dualentry,2026-08-12T06:40:14+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/dualentry/customer-success-lead-hybrid-london-427905
2026-08-12T11:59:09.007376+00:00,Dualentry,2026-08-12T06:40:14+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/dualentry/ai-erp-implementations-lead-hybrid-london-456727
2026-08-12T11:59:09.007450+00:00,Dualentry,2026-08-12T06:40:14+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/dualentry/accounting-solutions-consultant-london-hybrid-376010
2026-08-12T11:59:09.007533+00:00,Dualentry,2026-08-12T06:40:14+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/dualentry/senior-accounting-solutions-consultant-hybrid-london-441570
2026-08-12T11:59:09.007600+00:00,Dualentry,2026-08-12T06:40:14+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/dualentry/senior-account-executive-london-hybrid-186128
2026-08-12T11:59:09.011739+00:00,Proton,2026-08-12T03:55:19+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/proton/senior-product-manager-inbox-london-paris-130901
2026-08-12T11:59:09.019931+00:00,Checkout.com,2026-08-12T03:40:14+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/checkoutcom/associate-product-control-london-498464
2026-08-12T11:59:09.020164+00:00,Checkout.com,2026-08-12T03:40:14+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/checkoutcom/senior-golang-engineer-london-24125
2026-08-12T11:59:09.020340+00:00,Supercell,2026-08-12T03:40:12+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/supercell/head-of-performance-marketing-london-259727
2026-08-12T11:59:09.020398+00:00,Rogo,2026-08-12T03:40:08+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/rogo/sales-manager-enterprise-london-489246
