collectedAt,content.data.employeeCount,content.entityName,recordType,schemaVersion,source.name,source.url
2026-08-12T11:58:35.195564+00:00,40,Proven Group,STARTUP,1.0,Y Combinator,https://www.provenskincare.com
2026-08-12T11:58:35.195598+00:00,7,Precious,STARTUP,1.0,Y Combinator,https://preciousapp.com/
2026-08-12T11:58:35.195633+00:00,30,Spellbrush,STARTUP,1.0,Y Combinator,https://spellbrush.com
2026-08-12T11:58:35.195674+00:00,195,Jasper.ai,STARTUP,1.0,Y Combinator,https://jasper.ai
2026-08-12T11:58:35.195698+00:00,25,Assembly,STARTUP,1.0,Y Combinator,https://www.assembly.com
2026-08-12T11:58:35.195716+00:00,5,Observant AI,STARTUP,1.0,Y Combinator,https://www.observantai.com
2026-08-12T11:58:35.195738+00:00,80,Fondo,STARTUP,1.0,Y Combinator,https://fondo.com
2026-08-12T11:58:35.195765+00:00,40,Slite,STARTUP,1.0,Y Combinator,https://slite.com/
2026-08-12T11:58:35.195788+00:00,10,ClearBrain,STARTUP,1.0,Y Combinator,https://clearbrain.com/
2026-08-12T11:58:35.195841+00:00,5,Sepsis Scout,STARTUP,1.0,Y Combinator,https://sepsisscout.com
2026-08-12T11:58:35.195901+00:00,80,Promise,STARTUP,1.0,Y Combinator,http://promise-pay.com
2026-08-12T11:58:35.195936+00:00,29,Reverie Labs,STARTUP,1.0,Y Combinator,http://www.reverielabs.com
2026-08-12T11:58:35.195961+00:00,100,Nuvocargo,STARTUP,1.0,Y Combinator,http://www.nuvocargo.com
2026-08-12T11:58:35.196136+00:00,23,Evolve (makers of Podcast App & Rest),STARTUP,1.0,Y Combinator,https://getrest.app
2026-08-12T11:58:35.196164+00:00,14,Edwin,STARTUP,1.0,Y Combinator,https://edwin.ai
2026-08-12T11:58:35.196188+00:00,30,Acely,STARTUP,1.0,Y Combinator,https://acely.com
2026-08-12T11:58:35.196232+00:00,12,Cognition IP,STARTUP,1.0,Y Combinator,https://www.cognitionip.com
2026-08-12T11:58:35.196272+00:00,6,Vathys,STARTUP,1.0,Y Combinator,http://vathys.ai
2026-08-12T11:58:35.196279+00:00,25,Naborly,STARTUP,1.0,Y Combinator,https://naborly.com
2026-08-12T11:58:35.196292+00:00,80,Weekend (fmr. Volley),STARTUP,1.0,Y Combinator,https://weekend.com
2026-08-12T11:58:35.196300+00:00,4,SharpestMinds,STARTUP,1.0,Y Combinator,http://sharpestminds.com
2026-08-12T11:58:35.196338+00:00,25,Tilt (f.k.a. Delphia),STARTUP,1.0,Y Combinator,http://tilt.io
2026-08-12T11:58:35.196368+00:00,40,Orangewood Labs,STARTUP,1.0,Y Combinator,http://www.orangewood.co
